attendance_pct,internal1_marks,internal2_marks,assignment_avg,cgpa,study_hours,backlogs,performance_score,performance_label,attendance_risk,placement_score
42.2,27.6,26.4,6.8,7.9,7.2,1,72.8,good,1,75.5
76.6,25.9,19.2,9.5,4.62,5.5,2,62.2,good,0,62.1
70.2,23.2,17.2,8.3,6.41,7.3,4,61.5,good,1,67.8
43.1,27.0,19.9,8.9,8.37,5.4,3,64.0,good,1,69.9
56.7,27.3,26.6,7.3,8.68,1.9,2,70.0,good,1,70.6
94.5,24.2,16.7,8.2,4.71,3.2,2,61.6,good,0,60.4
54.4,26.7,13.5,6.2,4.0,2.4,2,48.1,average,1,47.8
48.7,23.9,24.2,8.5,8.27,7.4,0,74.3,good,1,77.7
69.4,23.6,26.5,7.1,6.14,6.3,3,66.9,good,1,69.0
99.1,22.4,12.0,7.2,5.53,5.7,2,64.6,good,0,67.1
54.5,25.1,14.8,8.2,4.08,3.1,3,47.0,average,1,48.3
80.3,13.2,12.8,9.7,7.24,2.3,2,55.8,average,0,61.0
85.7,27.6,17.0,5.3,9.11,6.3,4,74.6,good,0,81.3
54.3,27.4,19.0,9.1,9.75,4.3,4,67.3,good,1,74.4
83.7,10.6,25.0,6.5,7.39,2.6,4,59.1,average,0,64.0
62.1,26.5,23.0,7.2,7.09,5.3,1,70.3,good,1,71.2
77.9,12.6,22.4,5.1,4.51,1.3,2,51.0,average,0,50.7
78.0,16.7,17.0,6.5,7.29,3.3,1,63.2,good,0,66.2
72.1,24.9,26.8,7.5,6.28,4.3,3,66.4,good,1,66.8
45.4,13.2,19.4,5.3,7.64,2.0,1,53.8,average,1,58.3
90.1,26.4,29.6,7.5,6.33,7.9,3,78.1,good,0,78.8
59.2,26.6,22.7,9.6,5.44,2.5,3,57.0,average,1,56.7
51.2,20.1,12.5,5.5,4.57,1.9,3,41.9,average,1,44.9
42.4,10.1,23.5,8.8,5.89,2.4,1,48.9,average,1,51.7
75.5,15.7,16.5,7.0,4.58,6.4,2,55.4,average,0,59.2
80.7,22.3,23.7,8.3,5.06,4.0,1,65.2,good,0,63.2
41.0,29.6,11.4,6.3,9.92,5.0,2,66.2,good,1,73.9
70.7,22.6,13.5,5.8,6.66,1.1,2,56.1,average,1,57.9
53.6,15.2,27.1,5.8,7.19,1.2,3,55.1,average,1,57.8
78.7,22.7,14.5,5.4,9.24,4.1,1,72.2,good,0,76.8
50.5,20.8,26.7,5.9,9.97,6.7,2,74.6,good,1,81.4
81.5,25.6,15.6,8.3,7.5,7.2,4,67.9,good,0,74.5
63.2,12.1,22.9,9.4,8.87,1.6,2,60.8,good,1,65.8
96.2,25.2,23.9,9.1,5.96,4.8,4,68.6,good,0,69.4
48.3,20.8,20.3,8.4,5.83,7.4,1,60.8,good,1,64.6
60.5,29.3,16.1,5.6,6.42,3.7,1,63.5,good,1,63.9
46.8,16.8,14.3,6.4,8.04,6.8,1,60.5,good,1,68.6
95.5,22.7,10.7,6.5,8.09,1.9,2,66.0,good,0,69.2
92.6,28.6,16.1,6.2,5.89,7.5,0,76.3,good,0,76.0
55.5,12.1,23.1,7.6,4.8,6.3,2,52.7,average,1,56.8
79.6,28.7,28.8,7.7,7.79,7.6,2,82.3,excellent,0,83.5
89.0,23.8,27.4,6.8,4.77,5.7,3,67.6,good,0,66.6
73.3,11.4,25.3,6.8,7.47,3.5,3,60.5,good,1,65.3
71.8,16.0,25.8,9.1,8.16,7.6,2,72.3,good,1,78.2
54.5,24.2,23.3,8.9,8.2,2.9,4,61.6,good,1,66.0
45.6,11.3,15.2,6.5,8.52,3.3,3,50.5,average,1,60.2
93.8,21.6,28.1,9.6,9.24,5.9,2,83.5,excellent,0,86.3
94.0,16.9,23.4,9.8,7.0,6.4,0,76.0,good,0,77.2
78.0,22.4,21.2,6.6,8.38,7.5,4,71.4,good,0,78.7
60.3,10.9,12.2,6.8,7.72,2.4,1,52.7,average,1,59.1
61.0,27.4,18.9,7.5,5.12,6.6,2,61.9,good,1,63.5
83.6,29.5,19.2,9.7,4.15,6.2,2,65.5,good,0,64.2
93.8,29.4,27.3,9.4,5.71,1.4,4,67.4,good,0,64.1
93.2,25.0,20.9,5.5,6.66,3.7,3,68.7,good,0,69.5
86.8,12.6,17.6,7.0,7.7,3.0,3,60.2,good,0,65.9
78.5,25.2,29.5,7.8,9.1,3.1,3,76.7,good,0,78.1
45.0,10.5,12.2,7.5,5.18,7.9,1,47.9,average,1,56.1
49.7,10.4,18.5,6.0,4.75,5.5,4,42.4,average,1,49.9
93.9,16.5,10.8,9.3,9.78,6.0,4,68.2,good,0,79.2
76.4,19.8,24.8,8.4,4.65,7.8,3,62.8,good,0,65.4
40.6,25.4,28.4,9.2,6.87,3.6,3,60.6,good,1,62.3
46.1,23.7,15.6,9.3,7.51,6.6,0,65.2,good,1,69.7
79.8,18.9,27.2,8.7,7.25,4.0,0,73.6,good,0,72.8
40.3,15.5,15.8,7.2,4.52,7.1,2,46.8,average,1,52.9
49.6,29.9,28.2,8.1,4.34,2.3,2,58.2,average,1,54.0
72.9,18.5,25.1,5.8,4.63,7.6,4,59.0,average,1,62.9
81.5,19.0,26.1,8.4,7.51,2.5,4,64.3,good,0,67.1
79.1,13.3,10.4,5.9,7.27,3.3,1,57.5,average,0,63.0
53.5,25.9,29.3,8.5,5.4,6.3,1,67.6,good,1,66.5
82.7,23.9,24.5,6.1,7.83,3.8,0,77.1,good,0,76.1
54.2,14.4,16.1,5.6,8.92,5.3,2,60.7,good,1,69.6
59.5,11.6,26.6,5.8,4.25,4.1,0,55.0,average,1,54.3
84.8,23.6,15.6,5.0,6.99,6.2,0,72.8,good,0,74.6
79.0,23.1,27.5,8.6,8.14,2.6,2,72.9,good,0,73.1
91.0,15.5,12.3,8.7,5.51,1.4,1,55.2,average,0,56.1
79.5,29.0,24.1,7.6,5.85,3.1,2,68.3,good,0,65.8
74.1,13.0,20.8,5.8,7.68,4.3,3,60.7,good,1,66.9
45.6,18.6,11.9,5.4,9.39,2.2,3,54.1,average,1,63.0
62.1,28.9,14.8,5.1,8.86,3.5,3,66.0,good,1,71.0
55.9,18.4,10.2,5.8,7.5,3.8,4,49.9,average,1,58.8
54.6,22.8,19.4,9.5,8.38,1.4,1,63.2,good,1,65.1
98.4,18.0,16.0,6.2,6.19,5.1,1,67.4,good,0,69.3
63.6,15.5,22.0,6.8,7.85,7.2,4,62.3,good,1,71.1
93.5,29.7,15.9,5.5,6.8,2.1,0,73.0,good,0,70.0
77.9,18.2,16.0,6.1,5.14,5.2,3,55.3,average,0,59.3
87.7,27.9,24.9,7.6,8.21,5.7,3,78.5,good,0,80.7
70.2,14.6,11.0,8.0,7.34,3.9,0,59.4,average,1,64.2
74.6,14.3,28.1,6.2,6.15,5.9,2,65.2,good,1,67.7
69.6,10.6,27.0,5.3,9.47,3.9,2,68.6,good,1,74.6
51.7,23.0,23.4,7.0,4.13,4.5,1,56.0,average,1,54.8
83.3,17.4,21.9,6.2,5.89,1.1,4,54.8,average,0,56.4
56.8,27.3,27.8,6.1,4.34,5.8,1,64.6,good,1,62.0
41.5,19.5,13.7,9.8,8.6,5.6,2,58.5,average,1,67.3
78.7,29.4,11.6,8.1,8.21,1.3,0,69.8,good,0,69.7
50.6,13.7,14.8,7.8,5.99,3.6,1,49.7,average,1,54.3
96.4,27.4,25.9,7.1,8.05,7.9,3,83.2,excellent,0,86.1
97.2,25.5,10.7,7.1,6.38,3.9,3,63.4,good,0,66.3
94.9,25.4,21.7,7.7,8.54,4.5,0,82.4,excellent,0,82.3
62.2,26.9,29.9,8.5,6.73,7.4,2,74.1,good,1,75.2
40.9,25.2,27.1,8.5,6.47,6.0,3,61.6,good,1,64.7
95.7,22.5,20.4,5.9,9.61,5.1,3,78.2,good,0,83.4
65.7,12.6,11.3,7.5,5.51,6.6,4,47.1,average,1,56.5
98.0,10.7,26.6,7.1,4.72,7.1,1,67.3,good,0,68.2
97.8,28.4,22.0,9.4,7.51,4.2,2,77.6,good,0,77.3
91.2,22.3,12.3,8.2,9.82,4.3,1,75.8,good,0,81.1
57.7,25.9,11.9,7.7,6.27,3.7,2,55.9,average,1,59.2
63.1,19.6,28.2,5.6,4.37,7.8,3,60.5,good,1,62.7
91.1,12.3,23.4,8.0,6.04,5.9,4,61.1,good,0,66.3
59.0,12.5,26.6,5.6,7.04,1.6,1,58.7,average,1,60.0
50.2,23.7,27.6,6.7,4.97,7.0,3,60.1,good,1,62.1
73.4,18.6,21.4,5.7,7.95,4.4,2,67.0,good,1,71.1
96.2,14.0,20.3,8.5,9.99,1.5,1,73.9,good,0,77.4
81.8,19.8,18.6,6.0,6.71,4.8,1,67.0,good,0,69.0
74.2,11.3,16.3,7.0,6.13,3.9,3,51.9,average,1,57.9
45.8,21.6,18.7,9.5,6.4,7.1,1,61.0,good,1,65.5
76.9,15.4,25.5,6.0,4.69,2.4,4,52.2,average,0,53.3
99.4,26.0,22.0,7.5,9.3,6.8,4,81.2,excellent,0,86.8
48.4,16.2,27.9,7.1,6.49,4.9,3,57.4,average,1,61.5
71.1,19.1,18.9,5.1,6.32,1.4,2,56.7,average,1,57.8
92.6,10.2,22.1,9.0,7.96,7.8,3,69.6,good,0,77.8
84.4,11.4,22.6,5.3,6.65,4.6,4,58.6,average,0,64.4
81.8,17.8,21.8,7.4,7.89,3.0,0,71.0,good,0,71.7
82.1,19.6,24.1,7.8,4.37,4.3,0,64.5,good,0,61.5
61.6,22.0,14.7,8.1,8.88,7.0,1,70.2,good,1,77.2
57.6,15.8,20.2,8.4,9.64,3.1,1,66.2,good,1,71.9
88.6,23.9,12.1,6.3,7.89,2.3,0,69.7,good,0,70.6
88.6,27.2,17.7,5.0,9.73,1.9,4,71.9,good,0,76.2
92.0,25.6,19.8,8.6,4.91,3.1,1,66.1,good,0,63.0
94.8,10.8,23.0,7.7,6.86,6.5,3,66.1,good,0,71.9
70.7,19.6,29.0,9.2,7.61,4.3,3,68.2,good,1,70.8
70.1,12.1,22.0,9.1,7.49,2.6,4,55.1,average,1,61.2
87.9,14.8,24.9,9.2,6.41,2.2,1,65.1,good,0,64.6
79.0,29.7,20.1,7.4,6.03,3.3,3,65.0,good,0,64.7
82.1,12.8,22.7,6.7,4.76,7.6,1,63.0,good,0,65.5
87.7,20.0,11.4,9.0,6.35,3.4,1,61.5,good,0,63.8
93.4,22.4,15.1,7.3,4.98,7.9,3,64.0,good,0,67.9
60.3,24.0,17.2,5.9,8.41,4.4,0,69.8,good,1,72.7
62.5,21.2,19.4,9.3,5.25,2.3,3,51.9,average,1,53.3
45.6,10.2,10.9,9.4,4.35,7.2,4,37.8,poor,1,48.1
74.7,16.5,12.8,7.3,7.31,4.2,2,58.9,average,1,64.8
42.2,20.4,15.5,5.4,7.57,6.0,3,55.7,average,1,63.9
67.9,11.8,29.4,6.9,9.23,7.9,1,76.6,good,1,83.0
72.6,17.0,16.6,9.0,7.46,1.4,1,59.9,average,1,62.2
57.2,10.7,19.6,9.5,6.07,1.7,3,46.3,average,1,51.0
75.4,11.6,13.9,6.0,8.82,6.0,2,63.7,good,0,73.1
41.8,17.9,22.2,5.3,7.24,3.0,3,53.3,average,1,58.3
42.2,12.7,15.6,9.4,4.48,2.3,2,39.4,poor,1,43.1
89.4,21.4,14.1,6.9,7.4,1.3,2,62.9,good,0,64.8
61.6,23.8,20.3,7.7,9.45,1.2,4,63.0,good,1,68.1
47.6,26.0,10.1,9.8,6.38,6.4,1,58.1,average,1,63.1
71.3,14.0,10.2,5.3,5.78,1.9,1,49.7,average,1,53.0
86.2,13.3,14.4,8.2,4.86,4.3,2,53.7,average,0,57.0
52.9,12.1,10.7,5.4,4.91,5.2,1,45.8,average,1,51.6
77.4,22.7,12.2,6.9,6.6,4.0,0,64.5,good,0,66.0
45.1,24.1,16.8,9.0,7.57,1.2,2,55.3,average,1,58.2
43.1,10.6,26.1,7.2,4.48,6.5,1,51.7,average,1,55.0
71.9,28.7,21.4,10.0,9.64,1.1,0,77.5,good,1,76.7
72.4,11.0,20.3,7.8,8.53,6.3,4,61.8,good,1,71.8
78.2,20.8,15.9,6.6,7.52,7.3,1,70.6,good,0,75.6
83.6,24.2,28.6,6.1,8.97,4.0,0,83.6,excellent,0,82.7
98.6,27.4,17.9,6.8,4.48,4.7,3,64.4,good,0,63.6
71.0,24.3,11.7,6.9,6.86,4.3,3,58.7,average,1,63.7
59.4,26.0,22.3,5.3,7.78,3.7,0,71.0,good,1,71.0
87.7,16.8,12.3,6.8,8.97,7.2,2,70.8,good,0,79.6
56.2,26.3,16.9,7.3,8.7,7.3,2,70.5,good,1,77.1
66.3,11.6,20.1,8.6,5.66,3.4,1,54.3,average,1,56.8
44.7,27.9,27.5,8.3,9.65,5.3,3,73.1,good,1,77.9
41.5,21.0,19.9,8.5,4.75,7.5,2,53.9,average,1,58.0
97.8,26.3,24.0,5.0,9.25,7.7,2,87.2,excellent,0,90.8
90.2,19.0,29.9,6.1,9.83,4.6,3,80.3,excellent,0,84.3
81.8,22.9,12.6,8.3,5.06,4.2,4,53.6,average,0,57.3
64.5,20.5,15.5,7.4,8.33,3.0,2,61.9,good,1,66.8
50.4,24.6,17.9,5.0,4.24,7.7,0,59.7,average,1,60.6
49.4,11.6,18.4,9.0,6.43,2.0,1,49.6,average,1,53.4
55.0,11.2,18.2,8.9,7.1,5.1,2,54.6,average,1,61.8
73.0,14.9,28.2,7.7,7.48,3.0,2,65.6,good,1,67.5
82.9,13.2,24.3,5.3,9.62,3.0,4,67.2,good,0,74.2
79.6,27.4,22.2,8.8,8.03,3.8,0,77.7,good,0,76.7
56.8,14.4,16.2,7.9,6.89,8.0,1,60.7,good,1,68.1
97.3,29.5,26.5,8.9,8.86,1.4,2,81.3,excellent,0,79.2
84.3,16.7,29.1,8.8,9.7,5.0,1,81.1,excellent,0,84.3
73.3,13.6,26.4,9.0,4.13,1.6,3,50.0,average,1,49.5
76.7,25.8,10.0,7.6,9.9,2.1,2,68.4,good,0,73.8
65.2,23.2,22.7,5.7,4.52,4.1,2,57.8,average,1,57.1
54.9,20.0,11.0,8.4,8.89,4.6,3,58.2,average,1,67.5
61.4,21.1,15.2,8.1,5.68,2.8,4,49.1,average,1,53.4
85.5,24.4,11.2,8.7,4.79,3.2,2,56.5,average,0,57.1
40.9,14.6,22.1,5.8,6.64,1.6,1,51.6,average,1,54.0
47.0,29.9,23.7,6.0,7.86,3.1,0,70.5,good,1,69.5
42.8,29.5,12.3,9.5,6.29,7.8,1,61.7,good,1,66.3
42.4,23.0,17.7,8.7,4.33,7.6,4,48.8,average,1,54.6
91.3,14.0,19.1,9.5,7.6,3.3,0,69.1,good,0,70.9
82.2,23.6,17.4,8.8,9.41,5.0,1,76.9,good,0,81.1
68.5,11.4,12.4,8.0,6.3,7.4,1,57.2,average,1,64.7
45.9,10.6,18.4,8.3,5.3,1.0,3,39.5,poor,1,43.9
69.5,15.2,25.0,9.4,6.66,6.7,4,61.2,good,1,67.5
68.4,19.3,11.4,7.9,4.29,7.6,3,51.4,average,1,57.3
50.4,27.4,11.6,8.2,8.92,1.6,0,64.1,good,1,66.8
66.0,24.5,17.1,5.8,8.96,2.1,3,64.3,good,1,68.8
63.9,24.9,28.8,7.4,7.53,7.7,4,71.5,good,1,76.2
77.0,18.5,23.4,8.6,6.12,4.8,2,64.1,good,0,65.8
78.1,16.9,23.6,6.4,8.8,1.1,2,66.9,good,0,69.4
42.7,17.4,17.2,6.0,7.33,2.8,0,56.3,average,1,59.6
62.5,29.8,21.9,6.6,8.96,4.1,2,73.8,good,1,76.3
77.6,10.8,10.2,6.2,7.79,5.9,3,56.4,average,0,66.7
70.2,27.3,22.7,6.1,8.71,6.1,0,80.5,excellent,1,82.0
91.4,21.6,28.3,7.1,7.59,8.0,4,76.7,good,0,81.3
79.5,18.8,22.3,9.5,6.48,3.0,0,67.0,good,0,66.1
49.8,24.5,27.5,7.5,9.75,4.8,0,78.0,good,1,80.3
44.2,19.7,24.5,5.9,7.25,4.7,1,62.5,good,1,65.4
78.5,27.5,12.4,5.4,7.63,3.8,1,68.5,good,0,70.6
41.6,28.0,28.0,8.5,5.32,2.2,0,61.8,good,1,57.4
75.1,18.4,11.3,6.9,7.75,7.8,2,65.1,good,0,73.5
96.4,15.5,20.7,9.1,7.43,7.0,1,74.3,good,0,78.2
74.5,21.8,12.8,8.3,5.11,4.5,4,51.8,average,1,56.3
63.3,28.2,10.2,9.0,4.36,5.2,3,51.8,average,1,54.6
78.6,14.2,18.4,6.4,7.63,2.6,1,62.8,good,0,66.0
67.5,22.5,15.9,8.5,8.58,4.8,0,71.0,good,1,74.6
